Port Name,Year,Season,Value,Measure,Density,State,Port Code,Border,Latitude,Longitude,Point
El Paso,1996,Fall,15840350,Personal Vehicles,0.00033297584123089126,Texas,2402,US-Mexico Border,31.764,-106.451,POINT (-106.451188 31.764363)
Detroit,1996,Fall,8990754,Personal Vehicle Passengers,0.00019792231034227866,Michigan,3801,US-Canada Border,42.332,-83.048,POINT (-83.047924 42.331685)
Calexico,1996,Fall,8544080,Trucks,0.00015349322212538613,California,2503,US-Mexico Border,32.673,-115.388,POINT (-115.388018 32.673389)
Hidalgo,1996,Fall,7683781,Truck Containers Loaded,0.00016476780215877006,Texas,2305,US-Mexico Border,26.095,-98.271,POINT (-98.271092 26.095032)
Laredo,1996,Fall,6618805,Buses,0.00012414305506759833,Texas,2304,US-Mexico Border,27.5,-99.507,POINT (-99.507412 27.499561)
Buffalo Niagara Falls,1996,Fall,6236088,Trucks,0.00013393270996964456,New York,901,US-Canada Border,43.095,-79.056,POINT (-79.055847 43.09549)
Brownsville,1996,Fall,6038137,Rail Containers Loaded,0.00010864381492783299,Texas,2301,US-Mexico Border,25.952,-97.401,POINT (-97.40067 25.95155)
Blaine,1996,Fall,4150143,Trucks,8.715427206241685e-05,Washington,3004,US-Canada Border,48.994,-122.749,POINT (-122.748884 48.994045)
Nogales,1996,Fall,3978416,Rail Containers Empty,7.491914110714168e-05,Arizona,2604,US-Mexico Border,31.333,-110.943,POINT (-110.942516 31.332839)
Otay Mesa,1996,Fall,3181978,Bus Passengers,5.621387740717416e-05,California,2506,US-Mexico Border,32.55,-116.939,POINT (-116.938538 32.55033)
San Luis,1996,Fall,2911167,Trucks,5.248802314494681e-05,Arizona,2608,US-Mexico Border,32.485,-114.782,POINT (-114.7822222 32.485)
Eagle Pass,1996,Fall,2377644,Bus Passengers,4.78478548304685e-05,Texas,2303,US-Mexico Border,28.705,-100.512,POINT (-100.511977 28.705483)
Port Huron,1996,Fall,2167369,Rail Containers Empty,4.3208755576559914e-05,Michigan,3802,US-Canada Border,42.999,-82.424,POINT (-82.423611 42.998611)
Sault Sainte Marie,1996,Fall,1842797,Truck Containers Loaded,5.201336025199221e-05,Michigan,3803,US-Canada Border,46.509,-84.361,POINT (-84.360833 46.508611)
Douglas,1996,Fall,1798150,Train Passengers,3.5274900735162585e-05,Arizona,2601,US-Mexico Border,31.334,-109.56,POINT (-109.560344 31.334043)
Del Rio,1996,Fall,1781441,Truck Containers Empty,3.746888028936547e-05,Texas,2302,US-Mexico Border,29.327,-100.928,POINT (-100.927612 29.326784)
Roma,1996,Fall,1396285,Trucks,3.0353391314086937e-05,Texas,2310,US-Mexico Border,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,1996,Fall,1322277,Truck Containers Loaded,2.5373885357104113e-05,Maine,115,US-Canada Border,45.189,-67.275,POINT (-67.275381 45.188548)
Champlain Rouses Point,1996,Fall,1145493,Rail Containers Empty,2.5702888747434695e-05,New York,712,US-Canada Border,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
