Port Name,Bus Passengers,Buses,Pedestrians,Personal Vehicle Passengers,Personal Vehicles,Rail Containers Empty,Rail Containers Loaded,Train Passengers,Trains,Truck Containers Empty,Truck Containers Loaded,Trucks,Composite Metric,Total Traffic,Rank
Laredo,1.0,0.7517151616275805,0.42773585904453476,0.4228999919687857,0.35554707151601866,1.0,0.5062527269319381,0.0,1.0,1.0,1.0,1.0,7.950293706804451,393782413.0,1.0
Detroit,0.24737498338951017,0.33645370420630555,0.0013391465471319082,0.2692566397452251,0.27886197672055074,0.28642113639106404,0.249741338434581,0.0929693439596936,0.5790851474235327,0.5694130464597713,0.8359339183434447,0.7160383345458392,4.8599524537842544,228491904.0,2.0
Buffalo Niagara Falls,0.5986725308948121,0.36487924837334,0.03363395066075458,0.42328156331292416,0.332769589590138,0.16712960737199142,0.18894193614954488,0.3235002966264612,0.531367686231285,0.3993666247733346,0.4604467020597271,0.45121096443825187,3.928282106463724,290112756.0,3.0
Port Huron,0.06205406383279302,0.041723209375980896,3.8374650729476037e-05,0.11922189327979887,0.105570320040968,0.9463521874970361,0.5214495313760174,0.10794071646163776,0.8780808915832339,0.271471543464387,0.4158586599111849,0.3662418512445582,3.887460666750497,105135586.0,4.0
El Paso,0.370916903931917,0.34780315349015034,0.8135034657205794,0.7417590601958514,0.792304069069928,0.35033769652086405,0.08854288052674408,0.06032042616784709,0.37338109672085973,0.4738185386910128,0.22087940627678734,0.2950807274441816,3.4977375438278377,604078037.0,5.0
San Ysidro,0.4167745081529981,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2416774508153,756283588.0,6.0
International Falls,0.005891210361394629,0.0038315306534252493,0.0015808559772651654,0.028319479214099864,0.02844059969367763,0.754756548133569,1.0,0.11072604763072876,0.9853494994029577,0.010297438254666108,0.00901639444539399,0.00896002941280008,3.2014016696734333,28825818.0,7.0
Otay Mesa,0.1222991308580855,0.5544226035528095,0.36963574762451534,0.4118593549929046,0.429354121434726,0.019949130485831006,6.8699889587611415e-06,0.0057315887174080584,0.057928416153822604,0.43710078329303603,0.43028563294499417,0.4047390883458341,3.0761894054486763,338674100.0,8.0
Blaine,0.28675000536498724,0.23897918677620417,0.00022438996784255138,0.28446053404981686,0.246573656585766,0.5031833510104404,0.16869568982077623,0.8688998028869322,0.5252901013441107,0.19053188681359493,0.1589181352726732,0.16722000143435325,2.719942581580317,188666646.0,9.0
Eagle Pass,0.060532644322176324,0.0423911016919152,0.10092177055615106,0.2299835063674872,0.19260691068496547,0.7726962772110529,0.2569235878348828,0.012451352390496122,0.6731269710051744,0.09042146277074088,0.0664112195214932,0.06922819870048964,2.2984467361964898,157914153.0,10.0
Hidalgo,0.33601764441200055,0.41964051817115505,0.27681997821833204,0.38712280499353735,0.3583103708907751,0.0,0.0,0.0,0.0,0.3060105373948071,0.2642710215966546,0.2681685745067499,2.159397728084588,293786124.0,11.0
Nogales,0.2050707133280054,0.18152274727945983,0.46844392380962674,0.2780852656481271,0.23546978689985845,0.15768993405670476,0.08154028781883554,0.037675909929940486,0.18222038516885583,0.1272635993174667,0.17809561382907926,0.15558836069682638,1.6896869627844613,238108737.0,12.0
Champlain Rouses Point,0.3287021784784113,0.14872050240606438,0.00039360246564284454,0.0845304910600441,0.0678855203622271,0.05133523480790823,0.11118532715535534,0.4746136462090094,0.27990569792719144,0.06344814483865563,0.17835623337509535,0.14040860696398477,1.6072773632377828,65429295.0,13.0
Portal,0.00777108791246354,0.0032120192296345943,0.00038020948998435924,0.006164480782801342,0.006236986807885132,0.4939657453312651,0.3679095556880009,0.07763349495561042,0.45646183521631306,0.039670431783103935,0.04550368338213767,0.0405605320183992,1.536041161543677,11425681.0,14.0
Brownsville,0.05355934923648367,0.1266210548922522,0.31458865442482453,0.3797298646026918,0.34842886543580387,0.33300889873094397,0.022321371861614054,7.741863649253562e-05,0.1856801690089097,0.21072797314423877,0.08598329753892511,0.11895150374024445,1.5027818931842416,279664021.0,15.0
Pembina,0.031350888410432216,0.017662565697711467,1.5109820015893528e-05,0.023719599911461203,0.019926708123948814,0.14593604779131006,0.21427262241996267,0.03557081891519963,0.31150301582927653,0.07818433902646765,0.12385557178266966,0.10496034047461346,1.2801964653990505,24089356.0,16.0
Calexico East,0.07733816105293274,0.03986703514812813,0.03152570553162483,0.238094776231754,0.2229642874616134,0.03939492946654383,0.0014032924616518513,0.00483214073838242,0.06973148403294449,0.306256657968792,0.13333767962335977,0.17145821864165148,1.0241281310346098,162488828.0,17.0
Eastport,0.0059466427377750115,0.0031494780763757285,0.00026280436033956,0.01644917899088976,0.01607288862150714,0.039712168946702785,0.23048450013830712,0.033704072916177365,0.2950613881999939,0.024764947146817526,0.03100709604197285,0.027757616892231173,0.9480331442582108,14235730.0,18.0
Warroad,0.006347181850838815,0.008035948182884492,3.695984380531557e-06,0.00703727951629779,0.007902141122584472,0.0,0.0,0.053378845053123104,0.4174703775144668,0.007865401545276169,0.002894952761523368,0.004131040094966281,0.8783216060182623,5060761.0,19.0
Skagway,0.16759381335534412,0.18932623117570288,4.999514355600751e-05,0.003436997002884846,0.002547271418393016,0.0,0.0,1.0,0.060760540093689724,0.003183827192536955,0.001120379907843129,0.0013793526045978153,0.6243447450629028,5765869.0,20.0
Baudette,0.0015744752151220082,0.0011611414114476271,4.248394949234661e-05,0.011087135465431028,0.010551022283617179,0.0,0.0,0.029059824598945367,0.24053152077401183,0.009835576927098778,0.0005302763234127553,0.0028794898494973174,0.5063691099852623,7075109.0,21.0
Sweetgrass,0.0068845194009472714,0.0038763714802900967,0.00035324072653673865,0.017795313533295838,0.016447058736738178,0.06229406006684268,0.043796698101835015,0.028035984878139585,0.09842013410489575,0.047684320204187614,0.07638058804277996,0.0636044384618233,0.49572881488346954,16104903.0,22.0
Highgate Springs,0.07928647277358097,0.04959867459955961,5.086946244172466e-07,0.03859011418216483,0.03425622053172616,0.011324141237632975,0.02854441525635299,0.00881354634766709,0.07582437769817213,0.028439364410128457,0.05647377728923233,0.045511618232900744,0.48176551946793245,27818313.0,23.0
Sault Sainte Marie,0.04404790839244081,0.05259238980366798,0.0,0.05282087805623717,0.05137845729979933,0.09148826851672882,0.034985483583707705,0.010499358904100056,0.09053611340742782,0.016403562011927823,0.02467815321138017,0.019318182401695024,0.468250645961478,35310098.0,24.0
Sumas,0.023332137308163258,0.012752495156010677,0.004422233388775749,0.057801717476520686,0.056763570210231325,0.025365095219266443,0.003217358414064345,0.009475519183294276,0.06308747435779676,0.05603205643425884,0.08056166906061216,0.06902468485450186,0.45605449748790683,41802395.0,25.0
Calexico,0.0040982910401078055,0.002712870025323267,0.5175344652530572,0.3294586009013991,0.34143197273727544,0.0,0.0,0.0,0.000352101895226723,0.0,0.0,0.0004096236773953514,0.43349029965262253,273365354.0,26.0
Alexandria Bay,0.05238331607100629,0.025810615947758075,0.0,0.05109600443731318,0.040401349903166454,0.0,0.0,0.0,0.0,0.037743624695623916,0.11615963918005238,0.09241993367628107,0.4109187453212539,36745849.0,27.0
Trout River,0.00042374661490275325,0.00018998350329580077,8.743188857171426e-08,0.011057499784165361,0.010453521335741667,0.04819096639321932,0.05076545935468249,0.016252694429511636,0.14125409509812928,0.015097119662810412,0.0037794964478353047,0.006672738039453615,0.3766631304572697,7799550.0,28.0
San Luis,0.000434861051024419,0.001427826329117509,0.32246181650717237,0.20562038054101248,0.20592730486778602,0.0,0.0,0.0,0.0,0.026415804198975497,0.0159530417564684,0.018104915809340105,0.31908069755088564,170162896.0,29.0
Jackman,0.0043341407726518325,0.0019659162514956774,4.7133736293660506e-05,0.010864075525298675,0.00986198315132316,0.0601338881426675,0.01861702196607677,0.006466630827927077,0.07055815804782463,0.0930020964277514,0.018902415225738003,0.03873301533748124,0.30269399461704194,9639722.0,30.0
Ysleta,0.0,0.0,0.03230244248134243,0.044924440470125136,0.04769799886126677,0.0,6.481121659208624e-07,0.0,7.654389026667891e-05,0.09557469484240909,0.06748960984772502,0.06971370502861775,0.28160638192255516,37731014.0,31.0
Derby Line,0.061727341352084436,0.030107075174466216,5.81898960212291e-05,0.03948240928007226,0.037268758777683715,0.0,0.0,1.2178212481971895e-05,0.0,0.02633314026737324,0.05594176455454993,0.045347357968645405,0.25951402954599756,28285452.0,32.0
Calais,0.013057924596449853,0.007137951623827943,0.001467623733211289,0.049123010592019366,0.05575366030146099,0.003022278387782421,0.0020445346386139527,0.0036430252767498785,0.03900676647989958,0.033461280808825294,0.029520372820128038,0.03141427631086851,0.25646242684855963,34697808.0,33.0
Douglas,0.016929033766146254,0.03522364952409723,0.13282947395729922,0.12024653023257915,0.11365709598187913,0.0,0.0,0.0,0.0,0.019525198630090244,0.012074688257941052,0.013785081961535712,0.2546547907327066,91453459.0,34.0
